Baumarten;jan;feb;mar;apr;mai;jun;jul;aug;sep;okt;nov;dez
Birke;grün;gelb;gelb;rot;orange;gelb;gelb;grün;grün;grün;grün;grün
Buche;grün;grün;gelb;orange;rot;gelb;grün;grün;grün;grün;grün;grün
Eiche;grün;grün;gelb;orange;rot;gelb;gelb;grün;grün;grün;grün;grün
Erle;gelb;orange;rot;orange;gelb;grün;grün;grün;grün;grün;grün;gelb
Esche;grün;gelb;gelb;rot;orange;gelb;grün;grün;grün;grün;grün;grün
Hainbuche;grün;grün;gelb;rot;orange;gelb;grün;grün;grün;grün;grün;grün
Hasel;gelb;orange;rot;gelb;gelb;grün;grün;grün;grün;grün;grün;gelb
Kiefer;grün;grün;grün;gelb;rot;rot;orange;gelb;grün;grün;grün;grün
Pappel;grün;gelb;rot;rot;gelb;grün;grün;grün;grün;grün;grün;grün
Weide;grün;gelb;orange;rot;orange;gelb;grün;grün;grün;grün;grün;grün